text,emotion
I am thrilled,excited
Just another regular moment,neutral
Nothing special happening,neutral
I hate this situation,angry
This is so exciting,excited
I can't wait for this,excited
I feel very sad,sad
Super excited about this,excited
I feel amazing right now,happy
This is the best day ever,happy
I am furious,angry
I hate this situation,angry
This makes me so mad,angry
This is the best day ever,happy
I am so happy and excited,happy
I am feeling great today,happy
Super excited about this,excited
Nothing special happening,neutral
This is a terrible day,sad
I am going to the store,neutral
It is a normal day,neutral
I am going to the store,neutral
This makes me so mad,angry
I am so happy and excited,happy
I am really angry right now,angry
Nothing feels right,sad
I can't wait for this,excited
This is a terrible day,sad
I am furious,angry
This is the best day ever,happy
Looking forward to it,excited
I have a meeting today,neutral
Life is beautiful,happy
This is so frustrating,angry
It is a normal day,neutral
I am thrilled,excited
I am really angry right now,angry
It is a normal day,neutral
I am really angry right now,angry
I have a meeting today,neutral
I am furious,angry
I hate this situation,angry
I am really angry right now,angry
I am going to the store,neutral
Looking forward to it,excited
Nothing special happening,neutral
Nothing special happening,neutral
I am feeling down,sad
I can't wait for this,excited
I am going to the store,neutral
This is so exciting,excited
This is a terrible day,sad
This is so frustrating,angry
I am feeling down,sad
I am feeling great today,happy
Super excited about this,excited
I feel very sad,sad
This is so frustrating,angry
This is the best day ever,happy
Nothing feels right,sad
Nothing special happening,neutral
This is so exciting,excited
I feel lonely and depressed,sad
I am going to the store,neutral
I hate this situation,angry
This makes me so mad,angry
I am thrilled,excited
Looking forward to it,excited
I hate this situation,angry
This makes me so mad,angry
Nothing feels right,sad
I feel amazing right now,happy
Nothing special happening,neutral
I am thrilled,excited
Looking forward to it,excited
Nothing special happening,neutral
I am going to the store,neutral
I am so happy and excited,happy
I am feeling great today,happy
I am going to the store,neutral
I am going to the store,neutral
I can't wait for this,excited
Just another regular moment,neutral
I am feeling great today,happy
This makes me so mad,angry
This is a terrible day,sad
I am really angry right now,angry
Super excited about this,excited
I can't wait for this,excited
I am thrilled,excited
I am feeling down,sad
I am thrilled,excited
I am so happy and excited,happy
I am feeling great today,happy
I am going to the store,neutral
Just another regular moment,neutral
I have a meeting today,neutral
Just another regular moment,neutral
This is a terrible day,sad
I have a meeting today,neutral
Life is beautiful,happy
I feel lonely and depressed,sad
This is a terrible day,sad
Nothing special happening,neutral
I am furious,angry
I am really angry right now,angry
Nothing feels right,sad
I feel very sad,sad
I am really angry right now,angry
I am feeling down,sad
I am going to the store,neutral
Nothing feels right,sad
I feel lonely and depressed,sad
This is the best day ever,happy
I am feeling down,sad
Super excited about this,excited
I am furious,angry
Life is beautiful,happy
Nothing feels right,sad
I feel very sad,sad
I am really angry right now,angry
It is a normal day,neutral
This makes me so mad,angry
I am so happy and excited,happy
I feel amazing right now,happy
It is a normal day,neutral
I feel very sad,sad
I feel lonely and depressed,sad
I feel very sad,sad
I am furious,angry
Super excited about this,excited
Life is beautiful,happy
I am really angry right now,angry
Just another regular moment,neutral
I am feeling great today,happy
I feel lonely and depressed,sad
This is so frustrating,angry
This is so exciting,excited
This is a terrible day,sad
Nothing feels right,sad
I am furious,angry
I am feeling down,sad
Looking forward to it,excited
Nothing feels right,sad
I can't wait for this,excited
I am feeling great today,happy
This is so exciting,excited
I can't wait for this,excited
This is the best day ever,happy
Looking forward to it,excited
Looking forward to it,excited
I am thrilled,excited
This is a terrible day,sad
I am feeling great today,happy
Life is beautiful,happy
I am furious,angry
I am so happy and excited,happy
I am furious,angry
This is so exciting,excited
This is so frustrating,angry
I am feeling down,sad
I have a meeting today,neutral
I feel amazing right now,happy
This makes me so mad,angry
I can't wait for this,excited
Life is beautiful,happy
I am thrilled,excited
I am feeling down,sad
I am so happy and excited,happy
This is so frustrating,angry
I can't wait for this,excited
I am thrilled,excited
This is a terrible day,sad
I feel very sad,sad
I can't wait for this,excited
Nothing feels right,sad
I am feeling great today,happy
I am so happy and excited,happy
I feel very sad,sad
I feel lonely and depressed,sad
I am thrilled,excited
Nothing feels right,sad
I can't wait for this,excited
I am furious,angry
Life is beautiful,happy
This is the best day ever,happy
